cell_label,brain_section_label,x,y,z,supertype,cluster,glut_cluster,x_lat,dl_score,dl_group
1017163940100600637,C57BL6J-638850.58,5.05743697018732,6.7963095496365415,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.05850541501605555,-1.6720289692814263,ventromedial
1017163940100600639,C57BL6J-638850.58,4.927453272492322,6.527988947282848,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.1884891127110535,-1.0720436068344137,ventromedial
1104095349101090779,C57BL6J-638850.59,4.795054132066476,6.578195735837698,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.11898655356717303,-1.2440519851214038,ventromedial
1017163940100870341,C57BL6J-638850.58,6.03022458842645,6.701513428086759,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9142822032230749,-0.38919148435711687,ventromedial
1104095349101270392,C57BL6J-638850.59,6.290812682403095,6.629967978223987,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.3767719967694454,0.33650794429758074,ventromedial
1017163940100590144,C57BL6J-638850.58,4.895054108978073,7.107480791614243,11.2,0047 IT AON-TT-DP Glut_2,0173 IT AON-TT-DP Glut_2,Glut_2,0.2208882762253026,-1.9537882414681025,ventromedial
1017165415101140531,C57BL6J-638850.57,4.888159922522783,7.046695939630836,11.0,0047 IT AON-TT-DP Glut_2,0173 IT AON-TT-DP Glut_2,Glut_2,0.7536585932346451,-1.1523259002164912,ventromedial
1018143423101810077,C57BL6J-638850.56,6.227123923931269,6.567891797585316,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9217696418720092,-0.1660960402438774,ventromedial
1017163940101000097,C57BL6J-638850.58,6.341908860322532,6.801194361573106,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.225966475119157,-0.13609506813508376,ventromedial
1017165415101430448,C57BL6J-638850.57,5.992873837170666,6.812451449845142,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.35105532141323703,-1.3109463397182732,ventromedial
1017163940100600243,C57BL6J-638850.58,4.66621406012912,6.562536827042059,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.449728325074255,-0.7817298961300576,ventromedial
1017165415101150358,C57BL6J-638850.57,4.824889893325987,6.6647055266266735,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8169286224314414,-0.4591941881329059,ventromedial
1017163940100600498,C57BL6J-638850.58,4.946080796202394,6.793177763664014,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.16986158900098136,-1.5197864804312753,ventromedial
1017165415101580217,C57BL6J-638850.57,6.218123450801605,6.79624979308429,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.5763049350441767,-0.9872500206270465,ventromedial
1018143423101310326,C57BL6J-638850.56,4.701591207354064,6.70053820398729,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.6037630747051956,-0.7982333282390526,ventromedial
1017163940100870358,C57BL6J-638850.58,5.980590148144248,6.552866732949285,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8646477629408729,-0.21765534017466892,ventromedial
1104095349101090323-2,C57BL6J-638850.59,4.824413872843611,6.3164751914995785,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.08962681279003881,-0.865296089027894,ventromedial
