n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,doublet_score
2209,5060.0,0.0,0.15810277,0.04805744798379671
2390,5893.0,0.016969286,0.18666214,0.04607094746295465
2228,4775.0,0.041884817,0.2931937,0.0037553200367186844
2175,4285.0,0.023337223,0.18669778,0.02888467214842927
3450,8778.0,0.022784233,0.19366598,0.19006588950836295
4299,13660.0,0.102489024,0.20497805,0.11499663752521858
2245,4084.0,0.09794319,0.48971596,0.023143130379343322
3795,10969.0,0.89342695,0.19144863,0.027720314439387668
3538,9391.0,0.0,0.1597274,0.01892800283035556
4606,15411.0,0.019466614,0.23359938,0.1802325581395348
4398,18818.0,0.0,0.20724837,0.044799858619775555
2751,6998.0,0.014289797,0.25721633,0.006937202448424394
4342,15670.0,0.0,0.20421188,0.020654359349296294
3148,7268.0,0.04127683,0.30269676,0.11966701352757544
2951,6195.0,0.0,0.30669895,0.059703064125513315
2018,4095.0,0.0,0.07326008,0.07648302449944037
3969,12085.0,0.008274721,0.16549441,0.029282783986419578
3724,10325.0,0.0,0.2615012,0.02125562195798164
3244,8408.0,1.7364415,0.17840151,0.04543025120256547
3947,14975.0,0.006677796,0.1936561,0.008654528257271222
3258,7726.0,0.07765985,0.23297954,0.03955174686882005
2496,4859.0,0.082321465,0.2469644,0.04607094746295465
3150,8588.0,0.034932464,0.37261295,0.00432166765528345
2885,7701.0,0.012985326,0.27269185,0.022183230981325984
3743,10257.0,0.048747197,0.2534854,0.022499527320854605
2482,6199.0,0.016131634,0.22584288,0.05796053311292489
3941,12485.0,0.016019223,0.19223067,0.031783402001177165
4303,13736.0,0.014560279,0.13832267,0.009383571531687599
2497,6027.0,0.0,0.28206402,0.03009458297506449
2855,6978.0,0.057323016,0.1862998,0.087378640776699
2500,6595.0,0.015163003,0.19711903,0.050146378317121536
1177,1753.0,0.11409014,0.28522533,0.030508474576271188
3044,8632.0,0.1621872,0.2432808,0.034026033340945415
2124,4778.0,0.020929258,0.14650482,0.10646387832699614
4468,12522.0,0.0718735,0.27950805,0.20664307105907975
1513,2716.0,0.0,0.4786451,0.06535582616467434
3650,12952.0,0.015441631,0.17757876,0.01920796774958501
2726,5886.0,0.016989468,0.40774718,0.010138609981877846
3066,8127.0,0.012304663,0.1353513,0.04009962640099626
