n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo
2269,5286.0,0.03783579,0.15134317
2118,4698.0,0.10642827,0.14899957
2675,5941.0,0.06732873,0.26931491
2494,5907.0,0.03385813,0.23700695
3665,9143.0,0.043749318,0.16405994
1997,4148.0,0.072324015,0.4821601
3896,11780.0,0.0,0.1443124
4946,16378.0,0.1648553,0.21370131
1853,3513.0,0.0,0.284657
2247,4815.0,0.14537902,0.16614746
5601,25226.0,0.007928328,0.19424403
3124,9401.0,0.021274332,0.18083183
424,513.0,0.58479536,1.1695907
4213,13797.0,0.0072479523,0.14495906
2906,6485.0,0.0,0.2621434
4344,11851.0,0.016876213,0.23626699
2623,7279.0,0.013738151,0.109905206
2519,5208.0,0.09600615,0.26881722
3213,7215.0,0.027720029,0.20790021
4219,13555.0,0.059018813,0.2286979
4173,14020.0,0.27817404,0.17831668
3947,12902.0,0.015501473,0.2325221
2932,7928.0,0.13874874,0.25227043
4233,16801.0,0.0059520267,0.1785608
3274,8142.0,0.012281994,0.23335789
3567,12173.0,0.008214902,0.19715764
3914,14777.0,0.0,0.19625093
1766,3476.0,0.0287687,0.14384349
2390,5125.0,0.0,0.19512194
3660,11169.0,0.0,0.24174054
2426,5360.0,0.0,0.2425373
939,1329.0,0.22573364,0.45146728
2083,3864.0,0.7246377,0.51759833
4162,14286.0,0.0069998596,0.16099678
4030,12371.0,0.008083421,0.18591867
3402,11560.0,0.008650519,0.2681661
1666,3022.0,0.16545334,0.56254137
2942,7453.0,0.026834833,0.22809608
2813,7264.0,0.01376652,0.24779734
3559,10477.0,0.009544717,0.18134962
2062,3812.0,0.052465893,0.31479537
2450,4923.0,0.06093845,0.3453179
6120,36114.0,0.030459102,0.13845046
5130,21985.0,0.013645667,0.16829656
2864,6920.0,0.10115607,0.23121387
2733,7689.0,0.013005592,0.15606712
1951,3888.0,0.05144033,0.30864197
2346,5027.0,0.47742194,0.23871097
2408,6055.0,0.016515277,0.23121387
1191,1800.0,0.0,0.5555556
2066,4206.0,0.19020447,0.2377556
2754,6678.0,0.0,0.14974543
4126,15148.0,0.03300766,0.22445206
5033,16164.0,0.02474635,0.13610493
2434,5119.0,0.039070133,0.25395587
5479,20238.0,0.0592944,0.25694236
3106,8181.0,0.012223444,0.2444689
2707,6274.0,0.047816385,0.28689831
3206,7584.0,0.052742615,0.13185655
4480,14728.0,0.013579576,0.16295493
5374,23598.0,0.038138825,0.22459531
2592,6265.0,0.047885075,0.25538707
5138,23057.0,0.008674155,0.108426936
4382,11108.0,0.13503781,0.3871084
1973,3748.0,0.88046956,0.40021342
2639,6303.0,0.015865462,0.34904015
3389,10919.0,0.009158348,0.19232531
2298,4401.0,0.045444217,0.29538742
2712,5823.0,0.20607933,0.25759917
2006,3997.0,0.05003753,0.32524395
2194,4893.0,0.0,0.26568568
2894,7076.0,0.042396832,0.254381
4284,13572.0,0.0073681106,0.16946656
3360,10997.0,0.4273893,0.163681
3736,9729.0,0.07194985,0.21584952
2928,6402.0,0.015620119,0.3280225
2307,4527.0,0.9277667,0.28716588
3525,10437.0,0.019162595,0.20120724
1964,3973.0,0.15101938,0.27686885
2262,4672.0,0.57791096,0.23544522
451,536.0,0.0,1.119403
3446,10063.0,0.019874789,0.24843486
4143,12268.0,0.024453865,0.18747963
3492,11414.0,0.03504468,0.18398458
3340,8466.0,1.0512639,0.3543586
3119,8253.0,0.0,0.30292013
5088,24821.0,0.0,0.17726925
3597,8768.0,0.045620438,0.30793798
2171,4758.0,0.0,0.2522068
4155,15442.0,0.6864396,0.23313041
4433,14424.0,0.51303387,0.16638935
4442,16204.0,0.012342632,0.21599606
4350,14777.0,0.0067672734,0.18948366
2277,4425.0,0.04519774,0.20338984
2959,6324.0,0.015812777,0.3320683
3786,12504.0,0.007997441,0.20793346
3284,10156.0,0.0,0.18708153
2618,5960.0,0.03355705,0.2181208
3052,8388.0,0.1788269,0.22651407
4374,13545.0,0.0,0.25839794
2081,4504.0,0.022202488,0.15541741
