Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
Reactome_2022,Metabolism Of Carbohydrates R-HSA-71387,14/285,0.7884772331184154,0.999996057984298,0,0,0.82786200919004,0.1967428524747808,CHST9;MANBA;DCXR;B3GAT2;STAB2;HMMR;B3GALT2;GPC3;PHGDH;ALDOC;GPC4;CHST5;GPC6;SLC25A13,anterior_up
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,2/49,0.7902745270887627,0.999996057984298,0,0,0.6830696490270959,0.1607774443505499,CCNA1;GADD45A,anterior_up
Reactome_2022,Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,CFLAR,anterior_up
Reactome_2022,Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,FOXO1,anterior_up
Reactome_2022,Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,TGFBR2,anterior_up
Reactome_2022,Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,TUBA8,anterior_up
Reactome_2022,Metal Ion SLC Transporters R-HSA-425410,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,SLC39A8,anterior_up
Reactome_2022,N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,CHST8,anterior_up
Reactome_2022,Pyroptosis R-HSA-5620971,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,GSDME,anterior_up
Reactome_2022,Signaling By ALK R-HSA-201556,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,PTPRZ1,anterior_up
Reactome_2022,TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956,1/26,0.7921779744971361,0.999996057984298,0,0,0.6422886421861657,0.1496334693011244,BIRC3,anterior_up
Reactome_2022,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,5/112,0.7924897165829005,0.999996057984298,0,0,0.7496256076368034,0.1743447373422612,JUN;PELI2;ALPK1;S100B;NFKB1,anterior_up
Reactome_2022,Diseases Of Programmed Cell Death R-HSA-9645723,3/71,0.7937524320373202,0.999996057984298,0,0,0.7079957731595632,0.1635354583444056,JUN;BCL2L11;GSDME,anterior_up
Reactome_2022,Extension Of Telomeres R-HSA-180786,2/50,0.7995505639997631,0.999996057984298,0,0,0.6688034188034188,0.1496150060010243,CCNA1;CHTF18,anterior_up
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,3/72,0.8015098012290001,0.999996057984298,0,0,0.6976977721575482,0.154371268371322,FGF16;FGF18;FGF10,anterior_up
Reactome_2022,"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,PPARA,anterior_up
Reactome_2022,FLT3 Signaling In Disease R-HSA-9682385,1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,NOX4,anterior_up
Reactome_2022,G0 And Early G1 R-HSA-1538133,1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,CCNA1,anterior_up
Reactome_2022,Insulin Processing R-HSA-264876,1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,PCSK2,anterior_up
Reactome_2022,Interleukin Receptor SHC Signaling R-HSA-912526,1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,INPPL1,anterior_up
Reactome_2022,Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,RAD51B,anterior_up
Reactome_2022,Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952,1/27,0.8043721075091617,0.999996057984298,0,0,0.6175523878341983,0.1344370151224405,CD28,anterior_up
Reactome_2022,SUMOylation R-HSA-2990846,8/174,0.8062749430725279,0.999996057984298,0,0,0.7726576408727694,0.1663767362083918,NR4A2;RWDD3;SATB1;SATB2;PPARG;PPARA;ESR1;HIC1,anterior_up
Reactome_2022,Signaling By Hedgehog R-HSA-5358351,6/135,0.8096718609857068,0.999996057984298,0,0,0.7459013123778372,0.1574793270286586,SCUBE2;EVC2;ADCY10;EVC;HHIP;GPR161,anterior_up
