gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000045176,Borcs6,0.27824806447877765,0.11679394870342395,0.01720093837616198,0.0487012972102599,134.3229809874788
ENSMUSG00000025262,Fam120c,0.1713670751520671,0.07194771827659549,0.017226951215055342,0.04876766141698517,201.4526094040271
ENSMUSG00000064356,mt-Atp8,0.1528729065165802,0.06418522788819915,0.017230780154115465,0.04877121492464347,341.0719055777621
ENSMUSG00000055069,Rab39,0.3969036434368761,0.16665448965923596,0.017237803412426363,0.0487838074470549,28.24856849913757
ENSMUSG00000086732,Gm6117,-0.5436724449840146,0.22840206146585834,0.017297105965625614,0.04894117003527538,12.329162348855697
ENSMUSG00000028759,Hp1bp3,-0.12042546344980797,0.05059256807080585,0.01729857292328625,0.04894117003527538,1131.796047755061
ENSMUSG00000111474,Gm32926,0.3187422519786265,0.13392091784307544,0.017308966192929282,0.048963264570235844,43.83536349639452
ENSMUSG00000034839,Larp6,-0.18715360393735742,0.0786457175185197,0.01732650455363334,0.049005561386768925,61.413607655072774
ENSMUSG00000085620,G630018N14Rik,0.7142495988336182,0.30025786771397306,0.01736969593991277,0.049120390697111924,1.5877856108512796
ENSMUSG00000001552,Jup,-0.27587931305911473,0.11598643753335862,0.017380972215674795,0.04914494531289725,100.6043540560022
ENSMUSG00000116564,Riok2,-0.2502755972026764,0.10525264700318765,0.017413643143581254,0.049229977259565086,59.23136749467391
ENSMUSG00000030897,Cnga4,-0.6900285272299269,0.29039812563989015,0.017494509275875217,0.049451215808149665,2.342686629656901
ENSMUSG00000032254,Kif23,-1.042829725219565,0.43897548131895253,0.017520490538457754,0.049517270052762775,0.800348684837756
ENSMUSG00000025154,Arhgap19,-0.5026032744676371,0.21157544953385832,0.017523891977410663,0.04951949790813183,9.023163847463923
ENSMUSG00000030161,Gabarapl1,0.12618037236622281,0.05311991114561767,0.01753053595362021,0.04953088658433025,3920.7547284683624
ENSMUSG00000118132,4833408A19Rik,-0.4542043727723826,0.19123748024579548,0.017545132584669797,0.04956473799634655,5.166442059168348
ENSMUSG00000024891,Slc29a2,0.26398418599273005,0.11116635922508221,0.017564317196231496,0.049611538361691285,26.723090451255047
ENSMUSG00000051435,Fhad1,0.2701990943517362,0.11379718501988373,0.01757789083190347,0.049642478578922615,29.968896469202587
ENSMUSG00000059820,Nkapd1,0.19638900780809398,0.08272373839626045,0.01759490703641964,0.04968313043363913,87.36390412976706
ENSMUSG00000020170,Frs2,0.14342252539790742,0.06042033421658957,0.017608659973084494,0.04971455698598796,231.97621725867438
ENSMUSG00000026199,Ankzf1,0.22099065794949577,0.09310575765515958,0.017618270452618847,0.0497342805120106,59.56602353182217
ENSMUSG00000034820,Cpsf7,-0.12726837251210774,0.05362759999935096,0.017635288957391502,0.04977490702153246,267.01880242331225
ENSMUSG00000027956,Tmem144,0.25352081919707675,0.10688628633458727,0.017698117914994798,0.04994480037068525,28.389326897165617
